车　次,到达方向,出发方向,到达时刻,出发时刻,股道
27201,生米下行,京九下行,,9:56,12
27216,F线,生米上行,9:58,10:00,2
K334/5,京九上行,京九下行,9:46,10:06,6
T148,京九上行,南昌上行,10:08,10:11,3
41073,南昌下行,京九下行,10:00,10:13,9
10671,生米下行,京九下行,10:09,10:20,12
K876,京九上行,生米上行,10:01,10:22,1
27203,生米下行,京九下行,10:17,10:27,12
K8732,京九上行,南昌上行,10:23,10:27,3
K1138,京九上行,生米上行,10:16,10:36,2
41076,F线,南昌上行,10:17,10:39,5
23201/23212,梁家渡下行,生米上行,9:47,10:43,1
D6505,南昌下行,京九下行,,10:43,12
27205,生米下行,京九下行,10:26,10:49,10
27218,F线,生米上行,10:31,10:50,4
27207,生米下行,京九下行,10:53,10:56,12
27220,F线,生米上行,10:43,10:58,2
K241/4,梁家渡下行,南昌上行,10:52,11:00,3
27222,F线,生米上行,11:03,11:06,1
K571,南昌下行,京九下行,,11:10,12
27224,F线,生米上行,11:13,11:15,4
30057,生米下行,京九下行,11:01,11:16,9
27226,F线,生米上行,11:22,11:23,1
K8717,南昌下行,京九下行,11:22,11:27,6
30068,F线,生米上行,11:30,11:31,3
Z385,生米下行,京九下行,11:16,11:36,11
30059,生米下行,京九下行,11:36,11:42,8
T8002,京九上行,南昌上行,,11:49,4
X8774,F线,生米上行,,11:50,2
X218,F线,生米上行,,11:59,7
D6502,京九上行,南昌上行,,12:03,4
K569,生米下行,京九下行,11:53,12:12,10
K8715,梁家渡下行,南昌上行,12:10,12:16,2
K8703,南昌下行,京九下行,12:20,12:25,11
K8713,梁家渡下行,南昌上行,12:20,12:25,3
27228,F线,生米上行,,12:33,4
T147,南昌下行,京九下行,,12:36,12
K1255/8,南昌下行,梁家渡上行,12:29,12:40,5
10673,生米下行,京九下行,12:38,12:41,10
Z126,京九上行,南昌上行,12:40,12:41,4
27230,F线,生米上行,,12:42,3
K8704,京九上行,南昌上行,12:46,12:49,4
27232,F线,生米上行,,12:49,2
K787,南昌下行,京九下行,12:46,12:53,6
D6529,南昌下行,京九下行,,13:06,12
23010,F线,生米上行,,13:06,4
D6522,京九上行,南昌上行,,13:12,4
27209,生米下行,京九下行,,13:14,12
K421/4,南昌下行,梁家渡上行,,13:16,11
42086,F线,生米上行,,13:20,1
42081,生米下行,京九下行,,13:21,12
30061,生米下行,京九下行,,13:29,12
27234,F线,生米上行,,13:30,4
K903,南昌下行,京九下行,13:36,13:39,6
23012,F线,生米上行,,13:39,1
23203/23214,梁家渡下行,生米上行,12:56,13:45,8
K8731,南昌下行,京九下行,13:48,13:52,5
45016,F线,南昌上行,,13:53,4
D6507,南昌下行,京九下行,,14:01,12
30070,F线,生米上行,,14:01,4
30063,生米下行,京九下行,13:40,14:05,12
27236,F线,生米上行,,14:10,4
27238,F线,生米上行,,14:20,4
41075,南昌下行,京九下行,14:13,14:21,9
K1236,京九上行,南昌上行,14:17,14:23,1
30065,生米下行,京九下行,14:23,14:30,7
K322,京九上行,生米上行,14:31,14:38,2
K391/0,南昌下行,梁家渡上行,14:35,14:40,3
K1137,南昌下行,京九下行,14:19,14:42,6
30072,F线,生米上行,14:33,14:48,1
30067,生米下行,京九下行,14:49,14:50,9
Z104,京九上行,南昌上行,,14:50,4
42088,F线,生米上行,14:53,14:56,8
K243/2,南昌下行,梁家渡上行,,15:04,11
23016,F线,生米上行,,15:05,4
K8728,京九上行,南昌上行,14:57,15:07,1
K1523,南昌下行,京九下行,14:49,15:10,5
23211/23202,生米下行,梁家渡上行,14:37,15:15,9
27240,F线,生米上行,,15:16,1
K441,南昌下行,京九下行,15:18,15:21,6
K1558,京九上行,南昌上行,15:15,15:22,2
27242,F线,生米上行,,15:27,4
23009,生米下行,京九下行,15:10,15:28,10
41077,南昌下行,京九下行,,15:38,9
30074,F线,生米上行,,15:40,2
K1454,京九上行,南昌上行,15:28,15:49,2
